resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
cement,7,minus_own_momentum,200,125.8206655920125,0.9598751825845455,131.08023613364986,-0.36243128834144045,
cement,7,minus_calendar,223,131.61075980764423,1.0040473200967799,131.08023613364986,5.427662927290285,
cement,7,minus_cross_resource,164,123.51788139798934,0.9423074373473823,131.08023613364986,-2.6652154823646015,
cement,7,minus_fx,221,134.50800778534844,1.0261501791025431,131.08023613364986,8.324910904994496,
cement,7,minus_external_macro,198,130.21611209301074,0.9934076710103111,131.08023613364986,4.033015212656792,
cement,7,PRUNED,30,119.74822286034274,0.9135490321992328,131.08023613364986,-6.434874020011208,"[""own_usd_deflated"", ""own_std_60"", ""own_range_21"", ""own_std_7"", ""own_std_5"", ""own_dist_low_21"", ""gap_roll_mean_5"", ""own_dist_mean_7"", ""own_vol_7"", ""own_ret_lag_2"", ""own_z_14"", ""own_range_3"", ""relmom_own_steel_21"", ""ratio_own_aluminium_z21"", ""own_std_3"", ""own_ret_lag_5"", ""own_accel"", ""own_mom_60"", ""own_vol_3"", ""own_range_30"", ""oil_ret_1"", ""oil_egp"", ""usd_ret_21"", ""own_std_14"", ""own_logret_lag_14"", ""natgas_ret_1m"", ""oil_lag_14"", ""ratio_own_copper"", ""dom"", ""aluminium_ret_1""]"
cement,14,ALL,229,156.93283086016598,1.0461709485356863,150.00687132425452,,
cement,14,minus_own_lags,196,155.85487026374975,1.0389848737452447,150.00687132425452,-1.0779605964162329,
cement,14,minus_own_rolling,172,159.89040999992437,1.0658872396205479,150.00687132425452,2.957579139758394,
cement,14,minus_own_momentum,200,154.26079508384876,1.0283581926750474,150.00687132425452,-2.672035776317216,
cement,14,minus_calendar,223,156.26547203745014,1.0417220935144167,150.00687132425452,-0.6673588227158405,
cement,14,minus_cross_resource,164,166.33681298717127,1.108861290944586,150.00687132425452,9.403982127005293,
cement,14,minus_fx,221,161.71378377870587,1.078042507993822,150.00687132425452,4.780952918539896,
cement,14,minus_external_macro,198,145.00006044765647,0.9666227897935733,150.00687132425452,-11.932770412509512,
